"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","RWYLOCATION","UASLOCATION","DATASET"
"Reported a white UAS on 1.5 NM final to RWY 01C (approximately theAML180001)at 1,000 feet, Wbound. No evasive action taken. Louden County PD notified at. ","['rwy01c']","['5 NM ']","['L18']","6/4/2019","22:33","2019-06-04T22:33Z","DLH416","NCRCC","UAS",NA,"IAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 01C","IAD","RUNWAY"
"PIC reported a dark blue quad copter UAS on their left side while at 1,000 feet 2 NM final to RWY 25L. No evasive action taken. Los Angeles Airport PD notified at.","['rwy25l']","['2 NM ']","[]","6/10/2019","4:11","2019-06-10T04:11Z","AAL2850","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 25L","LAX","RUNWAY"
"Reported a black and white quad-copter UAS moving form E to W at 300 feet below aircraft from the 12 o'clock position whileSE bound at 2,000 feet on 5 NM final to RWY 17L. Orange County Sheriff notified at. ","['rwy17l']","['5 NM ']","[]","6/11/2019","0:08","2019-06-11T00:08Z","SWA273","DEN","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 17L","MCO","RUNWAY"
"Reported a green and whiteUAS on left downwind for RWY 21L at 8,000 feetDetroit airport PDnotified at. ","['rwy21l']","[]","[]","6/12/2019","3:58","2019-06-12T03:58Z","EDV5132","DEN","UAS",NA,"D21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 21L","D21","RUNWAY"
"Reported observing a UAS operating at 1,400 feet off of the departure RWY 13L end. Evasive action not reported. NYPD Aviation Unit notified at.","['rwy13l']","[]","[]","6/12/2019","18:37","2019-06-12T18:37Z","JBU2359","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 13L","JFK","RUNWAY"
"Reported observing a UAS 500 feet off of the left side while Sbound at 5,000 feet while on a 4 NM final to RWY 17. No evasive action taken. LEO notified at.","['rwy17 ']","['4 NM ']","[]","6/12/2019","19:12","2019-06-12T19:12Z","DAL","DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 17","SLC","RUNWAY"
"Reported a UAS at 300 feet below aircraft while doing pattern work to RWY 16L at 5,200 feet. No evasive action taken. LEO notification not reported. ","['rwy16l']","[]","[]","6/13/2019","22:44","2019-06-13T22:44Z","N818KA","DEN","UAS",NA,"RNO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 16L","RNO","RUNWAY"
"Reported an orange and red UAS at their 12 o'clock. Aircraft was at 1700 ft. departing RWY 27L. No evasive action taken. PHL ARPT PD notified at.","['rwy27l']","[]","['PHL']","6/15/2019","0:32","2019-06-15T00:32Z","PDT4913","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27L","PHL","RUNWAY"
"Reported a UAS passed 1,000 ft. below while NNW bound at 3,500 ft. Aircraft was on 8 NM final to RWY 34L. No evasive action taken. LEO notified via 911. ","['rwy34l']","['8 NM ']","[]","6/17/2019","4:00","2019-06-17T04:00Z","CPZ5753","DEN","UAS",NA,"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 34L","SEA","RUNWAY"
"Reported a UAS while on 6 NM final to RWY 22L at 2,000 ft. No evasive action reported. LEO notified at.","['rwy22l']","['6 NM ']","[]","6/21/2019","1:25","2019-06-21T01:25Z","ASA628","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22L","JFK","RUNWAY"
"Reported observing a red and white UAS from the left side while NE bound at 1,000 feet, while midfield right down-wind RWY 23. No evasive action taken. Airborne JSO Aviation Helicopter AIRHAWK4 pursued the UAS until returning to CRG being unable to locate the operator. ","['rwy23 ']","[]","['JSO', 'CRG']","6/21/2019","6:07","2019-06-21T06:07Z","N586MA","DEN","UAS",NA,"CRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 23","CRG","RUNWAY"
