"REMARKS","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"DCA-3.Pilot reported UAS at 600 feet on the RY1 final 1 NM S of IAD. IAD suspended traffic to 1R, MWAA Police are investigating. Another sighting of the drone near RY 1C at 2500 feet, and IAD suspended traffic to 1C. Police continue to investigate. 1722: IAD resumed normal operations. ","10/18/2018","22:18","2018-10-18T22:18Z","CNS333","NCRCC","UAS","MOR, TOI, TOI-NCR SFRA","NCRCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM S of NCRCC",NA
"PIC observed a UAS at 6,000FT while S bound at same altitude 1.5 NM NE SLC. UAS came within 15FT of Aircraft. No evasive action taken. SLC Airport PD notified at.","10/19/2018","1:07","2018-10-19T01:07Z","N191CA","DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","1.5 NM NE SLC",NA
"PIC reported a silver UAS 12-15 inches in diameter, at 9,500FT,500FT below aircraft 40 NM WSW Norfolk. No evasive action taken. Wakefield, VA PD notified at.","10/19/2018","2:20","2018-10-19T02:20Z","ASH6215","DEN","UAS",NA,"ORF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","40 NM WSW  ORF",NA
"PIC reported a quadcopter with a camera hanging below it. The UAS passed 100-200FT below while W bound at 3,200FT 5 NM N Santa Barbara, CA. LEO information not available.","10/19/2018","2:45","2018-10-19T02:45Z","MSTNG01","DEN","UAS",NA,"SBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM N  SBA",NA
"PIC reported a white UAS off left side 3,000FT below while S bound at 7,000FT 15 NM NE Fort Meyers, FL. No evasive action taken. Lee County Sheriff notified at.","10/19/2018","4:05","2018-10-19T04:05Z","N412CG","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","15 NM NE  RSW",NA
"A person on the ground reported a medium sized white UAS 100FT 3 NM E Mc Allen, Texas. McAllen PD notified at.","10/19/2018","6:03","2018-10-19T06:03Z",NA,"DEN","UAS",NA,"MFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM E  MFE",NA
"Reported a UAS off the left side while at 2,700 feet, 10 NM NE of Modena, PA. No evasive action. LEOs not notifed. ","10/20/2018","3:06","2018-10-20T03:06Z","N7874V","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM NE of PHL",NA
"Pilot reported a white and silver UAS at the10 o'clock position while NE bound at 1,900 feet, 7 NM SW of Fort Myers. No evasive action taken. Lee County Sheriff notified at. ","10/20/2018","20:40","2018-10-20T20:40Z","UAL1550","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM SW of RSW",NA
"VFR aircraft reported a remote controlled jet propelled UAS conduction figure eight maneuvers at 1,500 feet while S bound 15 NM NW of Fort Meyers. UAS operator possibly operating out of the Cape Coral Seahawk Remote Control Park. No evasive action taken. Lee County Sheriff notified at. ","10/21/2018","22:20","2018-10-21T22:20Z","N217DL","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","15 NM NW of RSW",NA
"PIC reported a grey quadcopter UAS 200FT above Aircraft while SW bound at 1,600FT 5 NM NE JFK. No evasive action reported. NYPD Aviation Unit notified at.","10/22/2018","17:57","2018-10-22T17:57Z","EDV5436","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","5 NM NE JFK",NA
"PIC reported a large black UAS 300FT off right side while W bound at 4,500FT 3 NM E of Appleton, OH. No evasive action taken. Licking County Sheriff notified at. ","10/23/2018","21:54","2018-10-23T21:54Z","N246MD","DEN","UAS",NA,"CMH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM E of CMH",NA
"PIC reported a black UAS at 2,000FT 1 NM NW Lawrenceville. Evasive action not reported. LEOs not notified for UNKN reason.","10/24/2018","19:50","2018-10-24T19:50Z","N504A","DEN","UAS",NA,"LZU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM NW  LZU",NA
"PIC reported a black UAS operating at 300FT 0.5 NM NE ORL. No evasive action reported. Local Law Enforcement notified.","10/24/2018","20:56","2018-10-24T20:56Z","N3DN","DEN","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","0.5 NM NE ORL",NA
"Pilot reported a UAS off right side while SSE bound at 1,300 feet 4 NM NNW of Seattle. No evasive action taken. Port of Seattle PD notified at. ","10/25/2018","2:55","2018-10-25T02:55Z","SWA1538","DEN","UAS",NA,"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM NNW of SEA",NA
"Pilot reported a UAS while inbound 200 feet off theright wing at 4,000 feet 10 NM NE of Dallas-Love Airport. No evasive action taken. Dallas PD notified at. ","10/26/2018","4:56","2018-10-26T04:56Z","SWA2505","DEN","UAS",NA,"DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM NE of DAL",NA
